City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Taunsa,PK,30.7,70.65,66.18,26,0,3.09,clear sky
213,Moosomin,CA,50.13,-101.67,37.04,80,100,8.88,overcast clouds
214,Victoria,HK,22.29,114.16,75.99,82,74,8.3,broken clouds
215,Cidreira,BR,-30.18,-50.21,63.7,69,100,13.82,overcast clouds
216,Zhanaozen,KZ,43.3,52.8,44.87,52,65,22.75,broken clouds
217,Pelym,RU,61.01,62.0,37.36,89,100,7.16,overcast clouds
218,Leningradskiy,RU,69.38,178.42,15.94,88,100,11.54,overcast clouds
219,Havoysund,NO,71.0,24.66,33.8,80,75,27.51,broken clouds
220,North Myrtle Beach,US,33.82,-78.68,79.0,83,75,24.16,broken clouds
221,Plouzane,FR,48.38,-4.62,59.0,93,90,19.46,overcast clouds
222,Sao Filipe,CV,14.9,-24.5,81.1,70,0,7.85,clear sky
223,Srednekolymsk,RU,67.45,153.68,2.79,94,100,1.01,overcast clouds
224,Aksarka,RU,66.56,67.8,14.9,97,79,6.42,broken clouds
225,Baicheng,CN,45.62,122.82,32.77,79,9,8.25,clear sky
226,Kyra,RU,49.58,111.98,31.77,87,98,2.68,overcast clouds
227,Camacha,PT,33.08,-16.33,69.8,68,40,9.17,scattered clouds
228,Charters Towers,AU,-20.1,146.27,67.46,71,0,6.04,clear sky
229,Asau,RO,46.43,26.4,50.0,88,1,4.36,clear sky
230,Chirongui,YT,-12.93,45.15,78.8,78,0,5.82,clear sky
231,Ascension,US,30.22,-90.9,66.2,42,1,11.41,clear sky
232,Puyang,CN,29.46,119.89,55.17,88,1,3.49,clear sky
233,Chapais,CA,49.78,-74.85,22.05,92,100,8.57,overcast clouds
234,Baghdad,IQ,33.34,44.4,66.2,39,4,2.24,clear sky
235,Adrar,MR,20.5,-10.07,86.13,13,29,7.96,scattered clouds
236,Pitimbu,BR,-7.47,-34.81,82.4,65,20,13.87,few clouds
237,Kloulklubed,PW,7.04,134.26,75.2,94,75,9.06,broken clouds
238,Cuamba,MZ,-14.8,36.54,77.94,38,19,4.61,few clouds
239,Kaitangata,NZ,-46.28,169.85,55.0,89,100,4.0,overcast clouds
240,Progreso,MX,21.28,-89.67,80.01,88,75,11.41,light rain
241,Mahebourg,MU,-20.41,57.7,68.0,72,3,5.01,light rain
242,Orangeburg,US,33.49,-80.86,81.0,78,20,14.99,few clouds
243,Krasnoselkup,RU,65.7,82.47,-3.32,93,0,3.58,clear sky
244,Kuantan,MY,3.81,103.33,75.2,94,40,2.89,moderate rain
245,San Vicente,AR,-26.62,-54.13,74.3,60,100,7.0,overcast clouds
246,Cherskiy,RU,68.75,161.3,5.86,92,95,4.72,overcast clouds
247,Orekhovo-Zuevo,RU,55.81,38.98,33.8,81,0,4.47,clear sky
248,Pekan,MY,3.48,103.4,75.2,94,40,3.2,light rain
249,Yanam,IN,16.73,82.22,75.25,73,100,2.71,overcast clouds
250,Union,US,40.63,-74.27,51.01,93,90,11.41,light rain
251,Cockburn Town,TC,21.46,-71.14,86.0,66,40,16.11,scattered clouds
252,Nayoro,JP,44.35,142.46,37.22,91,77,4.63,light rain
253,Buta,CD,2.79,24.73,71.02,97,100,1.83,overcast clouds
254,Dengzhou,CN,37.81,120.75,52.63,48,0,3.11,clear sky
255,Monastyryshche,UA,48.99,29.8,53.37,73,100,3.71,overcast clouds
